index,date,year,manner_of_death,armed,age,gender,race,city,state,state_ID,signs_of_mental_illness,threat_level,flee,flee_encoded,body_camera
2579,2017-08-13,2017,0,1,46,1,1,Kennewick,WA,47,True,attack,Not fleeing,0,False
2580,2017-08-14,2017,0,1,45,1,5,Colorado Springs,CO,5,False,attack,Foot,1,False
2581,2017-08-14,2017,0,1,20,1,5,Jacksonville,FL,9,False,attack,Not fleeing,0,False
2582,2017-08-15,2017,0,1,37,1,1,Thomasville,GA,10,False,undetermined,Not fleeing,0,True
2583,2017-08-16,2017,0,1,34,1,1,Los Angeles,CA,4,False,undetermined,Foot,1,False
2584,2017-08-16,2017,0,1,54,1,5,Livermore,CA,4,True,attack,Not fleeing,0,False
2585,2017-08-17,2017,0,1,65,1,5,Crenshaw County,AL,1,False,undetermined,Not fleeing,0,False
2586,2017-08-17,2017,0,1,28,1,2,Phoenix,AZ,3,True,other,Not fleeing,0,False
2588,2017-08-18,2017,0,1,26,1,5,Fairchance,PA,38,False,attack,Not fleeing,0,False
2589,2017-08-18,2017,0,1,25,1,1,Jacksonville,FL,9,False,attack,Not fleeing,0,False
2590,2017-08-19,2017,0,1,32,1,5,Homewood,AL,1,False,attack,Not fleeing,0,False
2591,2017-08-20,2017,0,1,44,1,5,Yellville,AR,2,False,other,Not fleeing,0,False
2592,2017-08-20,2017,0,1,32,1,1,Brick,NJ,31,False,attack,Not fleeing,0,False
2594,2017-08-21,2017,0,1,42,1,5,Morganton,NC,27,False,attack,Not fleeing,0,False
2595,2017-08-21,2017,0,1,66,1,5,Colorado City,CO,5,False,attack,Not fleeing,0,False
2596,2017-08-21,2017,0,1,22,1,5,Franklin,WI,48,True,other,Other,1,False
2597,2017-08-21,2017,0,1,51,1,1,Steubenville,OH,35,False,attack,Not fleeing,0,False
2598,2017-08-21,2017,0,1,64,1,5,Pardeeville,WI,48,False,attack,Not fleeing,0,False
2599,2017-08-22,2017,0,1,30,0,1,St. Louis,MO,24,False,attack,Not fleeing,0,False
2600,2017-08-22,2017,0,0,71,1,2,Albuquerque,NM,32,False,attack,Car,1,False
2601,2017-08-22,2017,0,1,30,1,5,Orcutt,CA,4,False,other,Foot,1,False
2602,2017-08-22,2017,0,1,48,1,5,Los Angeles,CA,4,False,other,Not fleeing,0,False
2603,2017-08-22,2017,0,1,56,1,5,Durham,CA,4,True,attack,Not fleeing,0,False
2604,2017-08-23,2017,0,1,26,0,5,Olathe,KS,16,True,other,Not fleeing,0,False
2605,2017-08-24,2017,0,1,28,1,5,Waterford Township,MI,22,True,other,Not fleeing,0,False
2606,2017-08-24,2017,0,1,19,1,2,Lemon Grove,CA,4,False,attack,Foot,1,False
2607,2017-08-24,2017,0,1,24,1,1,Orange,NJ,31,False,other,Foot,1,False
2608,2017-08-25,2017,0,1,44,1,5,Jacksonville,FL,9,False,other,Not fleeing,0,False
2609,2017-08-25,2017,0,1,28,0,5,Sunrise,FL,9,True,undetermined,Not fleeing,0,False
2610,2017-08-25,2017,0,0,47,1,1,Woodville,GA,10,False,attack,Foot,1,False
2611,2017-08-26,2017,0,1,18,1,1,Pine Bluff,AR,2,False,attack,Foot,1,True
2612,2017-08-27,2017,0,1,26,1,2,Farmington,NM,32,False,attack,Not fleeing,0,False
2613,2017-08-27,2017,0,1,33,1,5,Kettering,OH,35,False,other,Not fleeing,0,False
2614,2017-08-27,2017,0,1,34,1,5,Sharpsburg,KY,17,False,attack,Foot,1,False
2615,2017-08-28,2017,0,1,62,1,5,New Milford,CT,6,False,attack,Foot,1,False
2616,2017-08-28,2017,0,1,24,1,1,Newton,KS,16,True,attack,Car,1,True
2617,2017-08-29,2017,0,1,55,1,1,Evansville,IN,15,True,other,Not fleeing,0,True
2619,2017-08-29,2017,0,1,22,1,5,Lincoln Parish,LA,18,False,attack,Not fleeing,0,False
2620,2017-08-29,2017,0,1,46,0,5,Watagua,TX,43,True,other,Not fleeing,0,False
2621,2017-08-30,2017,0,0,27,1,1,Miami,FL,9,False,other,Foot,1,False
2622,2017-08-30,2017,0,1,32,1,3,Sacramento,CA,4,False,attack,Car,1,False
2623,2017-08-31,2017,0,1,22,1,2,Bakersfield,CA,4,False,attack,Not fleeing,0,False
2624,2017-08-31,2017,0,1,54,0,5,Fort Myers,FL,9,False,attack,Not fleeing,0,False
2625,2017-09-01,2017,0,1,32,1,5,Poultney,VT,46,True,attack,Not fleeing,0,False
2626,2017-09-01,2017,0,1,45,1,5,Mount Hope,WI,48,False,other,Foot,1,False
2627,2017-09-01,2017,0,1,36,1,5,Pittsfield,MA,19,True,other,Foot,1,False
2629,2017-09-03,2017,0,1,37,1,1,Milwaukee,WI,48,False,attack,Not fleeing,0,False
2630,2017-09-03,2017,0,1,47,1,5,Longview,WA,47,False,other,Not fleeing,0,False
2631,2017-09-03,2017,0,0,30,1,5,Akron,OH,35,True,attack,Not fleeing,0,True
2632,2017-09-03,2017,0,0,31,1,1,Myrtle Beach,SC,40,False,attack,Car,1,False
2633,2017-09-04,2017,0,1,44,1,5,Toledo,OH,35,False,attack,Not fleeing,0,False
2634,2017-09-04,2017,1,1,52,1,5,Columbus,GA,10,False,attack,Not fleeing,0,False
2637,2017-09-05,2017,0,1,16,1,5,Kendale Lakes,FL,9,False,attack,Not fleeing,0,False
2638,2017-09-06,2017,0,1,29,1,2,Charlotte,NC,27,False,other,Not fleeing,0,False
2639,2017-09-06,2017,0,0,42,1,5,Los Angeles,CA,4,False,attack,Not fleeing,0,False
2640,2017-09-06,2017,0,1,31,1,1,New York,NY,34,True,other,Not fleeing,0,True
2641,2017-09-07,2017,0,1,41,1,1,Sacramento,CA,4,False,attack,Car,1,False
2642,2017-09-08,2017,0,1,45,1,5,Amarillo,TX,43,False,attack,Not fleeing,0,False
2643,2017-09-08,2017,0,1,50,1,5,Monett,MO,24,True,other,Not fleeing,0,False
2644,2017-09-09,2017,0,1,26,1,1,Arcata,CA,4,False,attack,Not fleeing,0,False
2645,2017-09-10,2017,0,1,22,1,2,Youngtown,AZ,3,False,attack,Not fleeing,0,False
2646,2017-09-10,2017,0,1,76,1,5,Huntersville,NC,27,False,attack,Not fleeing,0,False
2647,2017-09-10,2017,0,1,58,1,2,Tacoma,WA,47,False,attack,Not fleeing,0,False
2648,2017-09-10,2017,0,1,32,1,5,Plano,TX,43,False,attack,Not fleeing,0,False
2649,2017-09-10,2017,0,0,19,1,2,Chicago,IL,14,False,attack,Not fleeing,0,True
2650,2017-09-11,2017,0,1,25,1,3,Great Falls,MT,26,False,other,Foot,1,False
2651,2017-09-11,2017,0,1,48,1,5,Hixson,TN,42,False,attack,Car,1,False
2652,2017-09-11,2017,0,1,39,1,2,Bassett,CA,4,False,attack,Not fleeing,0,False
2653,2017-09-13,2017,0,1,31,1,2,Quartzsite,AZ,3,False,attack,Car,1,False
2654,2017-09-14,2017,0,1,50,1,5,Frametown,WV,49,False,attack,Not fleeing,0,False
2655,2017-09-15,2017,0,1,15,1,2,Haymarket,VA,45,False,other,Not fleeing,0,False
2656,2017-09-15,2017,0,0,48,1,5,Hallandale Beach,FL,9,True,attack,Car,1,False
2657,2017-09-15,2017,0,0,32,1,2,San Jose,CA,4,False,other,Car,1,False
2659,2017-09-17,2017,0,1,37,1,5,Oak Harbor,WA,47,True,attack,Not fleeing,0,False
2660,2017-09-17,2017,0,1,21,1,1,West Milford,WV,49,False,attack,Foot,1,False
2661,2017-09-17,2017,1,1,40,1,2,Los Angeles,CA,4,False,other,Not fleeing,0,False
2662,2017-09-18,2017,0,1,33,1,5,Piedmont,AL,1,True,other,Not fleeing,0,False
2663,2017-09-19,2017,0,1,25,1,5,Monroe,NC,27,False,attack,Car,1,True
2664,2017-09-19,2017,0,1,55,1,5,Independence,VA,45,True,attack,Not fleeing,0,False
2665,2017-09-19,2017,0,1,53,1,5,Bernice,LA,18,False,undetermined,Not fleeing,0,False
2667,2017-09-19,2017,0,1,27,1,5,Chula Vista,CA,4,True,attack,Not fleeing,0,False
2668,2017-09-20,2017,0,1,35,1,2,Oklahoma City,OK,36,False,other,Not fleeing,0,False
2669,2017-09-20,2017,0,1,25,1,1,Peoria,IL,14,True,other,Not fleeing,0,False
2670,2017-09-20,2017,0,1,31,1,1,Huntsville,AL,1,True,attack,Not fleeing,0,False
2671,2017-09-21,2017,0,1,70,1,5,Boswell,OK,36,False,attack,Car,1,False
2672,2017-09-21,2017,0,1,40,1,5,Tacoma,WA,47,True,other,Not fleeing,0,False
2673,2017-09-21,2017,0,1,25,1,4,Denver,CO,5,False,other,Car,1,False
2674,2017-09-21,2017,0,0,38,1,2,Rockwall,TX,43,False,attack,Car,1,False
2675,2017-09-22,2017,0,1,26,1,2,Oceanside,CA,4,False,attack,Not fleeing,0,False
2676,2017-09-22,2017,0,1,27,1,4,Huntington Beach,CA,4,True,attack,Not fleeing,0,False
2677,2017-09-22,2017,0,1,37,1,5,Denver,CO,5,False,other,Not fleeing,0,False
2678,2017-09-22,2017,0,1,28,1,5,Mesa,AZ,3,True,attack,Not fleeing,0,False
2679,2017-09-22,2017,0,1,40,1,5,Hattiesburg,MS,25,False,attack,Not fleeing,0,False
2680,2017-09-22,2017,0,0,44,1,5,Brooksville,FL,9,True,attack,Car,1,False
2681,2017-09-24,2017,0,1,39,1,1,San Francisco,CA,4,False,other,Not fleeing,0,True
2682,2017-09-24,2017,0,1,24,1,5,New Castle,IN,15,False,attack,Foot,1,False
2683,2017-09-25,2017,0,1,32,1,1,Palmetto,FL,9,False,attack,Foot,1,False
2684,2017-09-25,2017,0,1,31,1,5,Las Vegas,NV,33,True,attack,Not fleeing,0,True
2685,2017-09-26,2017,0,1,50,1,5,Fairview,TN,42,False,attack,Not fleeing,0,False
2686,2017-09-26,2017,0,1,31,1,5,Eugene,OR,37,False,attack,Not fleeing,0,False
2687,2017-09-26,2017,0,1,50,1,5,Coolin,ID,13,False,other,Not fleeing,0,False
2688,2017-09-27,2017,0,1,45,1,1,Emeryville,CA,4,False,attack,Car,1,False
2689,2017-09-27,2017,0,1,44,1,5,Spring Hill,FL,9,False,attack,Car,1,False
2690,2017-09-27,2017,0,1,48,1,5,Griffin,GA,10,True,attack,Not fleeing,0,False
2691,2017-09-28,2017,0,1,39,1,5,Salt Lake City,UT,44,False,other,Not fleeing,0,False
