index,date,year,manner_of_death,armed,age,gender,race,city,state,state_ID,signs_of_mental_illness,threat_level,flee,flee_encoded,body_camera,longitude,latitude
191,2015-03-14,2015,0,1,53,1,5,Follansbee,WV,49,False,other,Not fleeing,0,False,-80.596,40.331
192,2015-03-14,2015,0,1,26,1,5,Kenosha,WI,48,False,attack,Car,1,False,-87.835,42.583
193,2015-03-14,2015,0,1,29,1,2,San Antonio,TX,43,True,attack,Not fleeing,0,False,-98.536,29.513
194,2015-03-15,2015,0,1,27,1,5,Ruth,MS,25,False,other,Not fleeing,0,False,-90.303,31.326
195,2015-03-16,2015,0,1,28,1,5,St. Paul,MN,23,True,attack,Not fleeing,0,False,-93.025,44.954
196,2015-03-16,2015,0,1,52,1,5,Gastonia,NC,27,True,attack,Not fleeing,0,False,-81.242,35.204
197,2015-03-17,2015,0,1,49,1,5,Medford,OR,37,True,attack,Not fleeing,0,False,-122.899,42.33
198,2015-03-17,2015,0,1,24,1,5,Dublin,NC,27,False,attack,Foot,1,False,-78.751,34.64
199,2015-03-17,2015,0,1,24,0,5,San Francisco,CA,4,True,other,Not fleeing,0,False,-122.422,37.789
200,2015-03-17,2015,0,1,20,1,5,Onalaska,TX,43,True,attack,Not fleeing,0,False,-95.104,30.815
201,2015-03-17,2015,0,0,22,1,2,Sacramento,CA,4,False,undetermined,Car,1,False,-121.504,38.682
202,2015-03-18,2015,0,1,49,0,5,Glendale,AZ,3,False,attack,Not fleeing,0,False,-112.203,33.582
203,2015-03-18,2015,0,1,64,1,5,Tallahassee,FL,9,False,attack,Not fleeing,0,False,-84.279,30.461
204,2015-03-18,2015,0,1,47,1,5,Bakersfield,CA,4,False,other,Not fleeing,0,False,-119.015,35.376
205,2015-03-19,2015,0,1,39,1,5,Lawrence County,AL,1,True,other,Not fleeing,0,True,-87.287,34.566
206,2015-03-19,2015,0,0,18,1,1,Cleveland,OH,35,False,attack,Not fleeing,0,False,-81.609,41.529
207,2015-03-19,2015,0,1,31,1,5,Middleton,ID,13,False,attack,Not fleeing,0,True,-116.58,43.704
208,2015-03-19,2015,0,1,16,1,1,Jacksonville,FL,9,False,attack,Car,1,False,-81.68,30.379
209,2015-03-19,2015,0,0,20,1,5,Sumas,WA,47,True,attack,Not fleeing,0,False,-122.273,49.0
210,2015-03-19,2015,0,1,36,1,5,Bakersfield,CA,4,False,attack,Not fleeing,0,False,-119.336,35.355
211,2015-03-20,2015,0,1,63,1,1,New Orleans,LA,18,True,attack,Not fleeing,0,False,-90.265,29.993
212,2015-03-20,2015,0,1,34,1,5,Coal County,OK,36,False,attack,Not fleeing,0,False,-96.323,34.506
213,2015-03-20,2015,0,1,24,1,3,Red Valley,AZ,3,False,attack,Car,1,False,-109.138,36.466
214,2015-03-21,2015,0,1,21,1,5,Cottonwood,AZ,3,False,attack,Not fleeing,0,False,-112.001,34.713
215,2015-03-21,2015,0,1,44,1,5,Clarendon,NY,34,False,attack,Car,1,False,-78.047,43.19
216,2015-03-21,2015,0,1,60,1,5,Harmony,IN,15,True,attack,Not fleeing,0,False,-87.073,39.534
217,2015-03-21,2015,0,1,42,1,5,Columbus,OH,35,False,attack,Not fleeing,0,False,-82.999,40.03
218,2015-03-22,2015,0,1,37,1,5,Vallejo,CA,4,True,other,Not fleeing,0,False,-122.222,38.133
219,2015-03-22,2015,1,1,36,1,5,Portland,OR,37,True,other,Foot,1,False,-122.53,45.506
220,2015-03-22,2015,1,1,21,1,1,Islip,NY,34,False,attack,Car,1,False,-73.238,40.74
221,2015-03-23,2015,0,1,24,1,1,Santa Clara,CA,4,False,attack,Not fleeing,0,False,-121.959,37.361
222,2015-03-24,2015,0,1,29,1,1,Portsmouth,VA,45,True,attack,Car,1,False,-76.37,36.819
223,2015-03-24,2015,0,1,57,1,5,San Jose,CA,4,True,attack,Not fleeing,0,False,-121.841,37.302
224,2015-03-24,2015,0,1,38,1,5,Fond du Lac,WI,48,False,attack,Not fleeing,0,False,-88.475,43.782
225,2015-03-25,2015,0,1,23,1,1,Smyrna,GA,10,False,other,Car,1,True,-84.477,33.866
226,2015-03-25,2015,0,1,27,1,1,Johnsonville,SC,40,False,attack,Foot,1,False,-79.462,33.819
227,2015-03-25,2015,0,1,28,1,2,South Los Angeles,CA,4,False,attack,Foot,1,False,-118.292,33.94
228,2015-03-25,2015,1,1,63,1,5,Glendale,AZ,3,True,other,Not fleeing,0,False,-112.203,33.638
229,2015-03-26,2015,0,1,53,0,5,Gardner,KS,16,False,attack,Not fleeing,0,False,-94.91,38.818
230,2015-03-26,2015,0,1,35,1,2,Wilmington,CA,4,True,other,Not fleeing,0,False,-118.271,33.793
231,2015-03-27,2015,0,1,26,0,1,Oxnard,CA,4,False,other,Not fleeing,0,False,-119.183,34.228
232,2015-03-27,2015,0,1,42,1,5,Fort Ashby,WV,49,False,attack,Car,1,False,-78.841,39.469
233,2015-03-27,2015,0,1,41,1,1,Boston,MA,19,False,attack,Not fleeing,0,False,-71.089,42.313
234,2015-03-27,2015,0,1,56,1,5,Encinitas,CA,4,True,attack,Not fleeing,0,False,-117.242,33.05
235,2015-03-27,2015,0,1,39,1,1,Fort Pierce,FL,9,False,other,Not fleeing,0,False,-80.328,27.435
236,2015-03-27,2015,0,1,23,1,2,Bakersfield,CA,4,False,attack,Car,1,False,-119.003,35.396
237,2015-03-27,2015,0,1,40,1,5,Webster,MA,19,False,attack,Foot,1,False,-71.878,42.056
238,2015-03-29,2015,0,1,29,1,1,Elizabethtown,KY,17,False,attack,Not fleeing,0,False,-85.889,37.735
239,2015-03-29,2015,0,0,26,1,5,Jasper,OH,35,False,attack,Car,1,False,-83.255,39.083
241,2015-03-30,2015,0,1,49,1,5,Eugene,OR,37,True,attack,Not fleeing,0,False,-123.181,44.091
